runid,date,model,hidden_dim,algorithm,dataset,epochs,time elapsed,record_train_acc,record_test_acc,last_train_acc,last_test_acc,target density/prune,final l1 norm,learning rate,optimizer,momentum,percent zeros,irmv1_gradnorm penalty,irmv1_penalty_anneal_iter,pgd_anneal_iter,orig 28x28,ts,te,fraction z,pgd skip,rho tolerance,run notes
0,2025-04-08 13:00:31,EBD,390,pgd-IRMv1,mnistcifar,50,75.40753960609436,0.8236000212430954,0.7540000212192536,0.5000000075995922,0.49999999612569807,25.0,5.552026748657227,0.006,adam,None,0.06640625,10000.0,400,1200,False,0.28,0.6,0.8,5,34,running batch notes
0,2025-04-08 13:01:28,EBD,390,pgd-IRMv1,mnistcifar,50,36.20705962181091,0.8221000267267227,0.7660000151395798,0.5000000075995922,0.49999999612569807,25.0,11.755061149597168,0.006,adam,None,0.06640625,10000.0,400,1200,False,0.28,0.6,0.8,5,34,running batch notes
0,2025-04-08 13:02:14,EBD,390,pgd-IRMv1,mnistcifar,50,34.54776859283447,0.8688000234365463,0.7690000158548355,0.6546000207662582,0.6169999980926514,25.0,6.322079181671143,0.006,adam,None,0.06640625,10000.0,400,1200,False,0.28,0.6,0.8,5,34,running batch notes
0,2025-04-08 13:03:01,EBD,390,pgd-IRMv1,mnistcifar,50,35.194398164749146,0.8550000239610672,0.7690000301599502,0.5828000111579895,0.5530000108480454,25.0,4.332858085632324,0.006,adam,None,0.06640625,10000.0,400,1200,False,0.28,0.6,0.8,5,34,running batch notes
0,2025-04-08 13:03:47,EBD,390,pgd-IRMv1,mnistcifar,50,35.03095507621765,0.8519000270366669,0.7700000309944153,0.5789000039696693,0.5529999923706055,25.0,3.389054298400879,0.006,adam,None,0.06640625,10000.0,400,1200,False,0.28,0.6,0.8,5,34,running batch notes
0,2025-04-08 13:04:35,EBD,390,pgd-IRMv1,mnistcifar,50,35.19055700302124,0.8171000252366066,0.7670000213384628,0.6104000121951103,0.5900000059604644,25.0,4.6634111404418945,0.006,adam,None,0.06640625,10000.0,400,1200,False,0.28,0.6,0.8,5,34,running batch notes
0,2025-04-08 13:05:21,EBD,390,pgd-IRMv1,mnistcifar,50,35.89751386642456,0.8491000264286995,0.7710000246763229,0.5000000075995922,0.49999999612569807,25.0,3.251086711883545,0.006,adam,None,0.06640625,10000.0,400,1200,False,0.28,0.6,0.8,5,34,running batch notes
0,2025-04-08 13:06:08,EBD,390,pgd-IRMv1,mnistcifar,50,35.21274495124817,0.8347000216245651,0.7580000299215317,0.578600010573864,0.5540000003576279,25.0,7.3358941078186035,0.006,adam,None,0.06640625,10000.0,400,1200,False,0.28,0.6,0.8,5,34,running batch notes
0,2025-04-08 13:06:55,EBD,390,pgd-IRMv1,mnistcifar,50,35.71071147918701,0.8735000259280205,0.7460000199079514,0.5000000075995922,0.49999999612569807,25.0,3.7326951026916504,0.006,adam,None,0.06640625,10000.0,400,1200,False,0.28,0.6,0.8,5,34,running batch notes
0,2025-04-08 13:07:42,EBD,390,pgd-IRMv1,mnistcifar,50,35.70051956176758,0.8319000287652015,0.7610000199079514,0.5711000143885613,0.5520000004768372,25.0,4.992298126220703,0.006,adam,None,0.06640625,10000.0,400,1200,False,0.28,0.6,0.8,5,34,running batch notes
0,2025-04-08 13:08:27,EBD,390,pgd-IRMv1,mnistcifar,50,34.526469707489014,0.8671000244021416,0.7540000355243683,0.5956000087857246,0.5620000219345093,25.0,5.171936511993408,0.006,adam,None,0.166015625,10000.0,400,1200,False,0.28,0.6,0.8,5,85,running batch notes
0,2025-04-08 13:09:14,EBD,390,pgd-IRMv1,mnistcifar,50,35.79865002632141,0.8285000261068344,0.7490000331401825,0.5000000075995922,0.49999999612569807,25.0,10.002580642700195,0.006,adam,None,0.166015625,10000.0,400,1200,False,0.28,0.6,0.8,5,85,running batch notes
0,2025-04-08 13:09:59,EBD,390,pgd-IRMv1,mnistcifar,50,34.01474714279175,0.8486000244617462,0.7730000120401382,0.5007000077962875,0.5000000089406967,25.0,18.005680084228516,0.006,adam,None,0.166015625,10000.0,400,1200,False,0.28,0.6,0.8,5,85,running batch notes
0,2025-04-08 13:10:45,EBD,390,pgd-IRMv1,mnistcifar,50,34.75933289527893,0.8043000247478486,0.7530000311136246,0.6103000057935715,0.5850000017881394,25.0,3.510211944580078,0.006,adam,None,0.166015625,10000.0,400,1200,False,0.28,0.6,0.8,5,85,running batch notes
0,2025-04-08 13:11:32,EBD,390,pgd-IRMv1,mnistcifar,50,35.603795766830444,0.8508000184297562,0.7660000169277191,0.5719000089168549,0.5619999998807907,25.0,4.78675651550293,0.006,adam,None,0.166015625,10000.0,400,1200,False,0.28,0.6,0.8,5,85,running batch notes
0,2025-04-08 13:12:17,EBD,390,pgd-IRMv1,mnistcifar,50,34.07059836387634,0.8354000284671783,0.7590000247955322,0.5000000090003014,0.5000000089406967,25.0,3.5160183906555176,0.006,adam,None,0.166015625,10000.0,400,1200,False,0.28,0.6,0.8,5,85,running batch notes
0,2025-04-08 13:13:03,EBD,390,pgd-IRMv1,mnistcifar,50,35.37225651741028,0.8387000231742859,0.7640000313520432,0.5002000075876712,0.49999999612569807,25.0,8.171205520629883,0.006,adam,None,0.166015625,10000.0,400,1200,False,0.28,0.6,0.8,5,85,running batch notes
0,2025-04-08 13:13:49,EBD,390,pgd-IRMv1,mnistcifar,50,34.46478080749512,0.8363000239729881,0.7500000196695328,0.5000000075995922,0.49999999612569807,25.0,6.0206780433654785,0.006,adam,None,0.166015625,10000.0,400,1200,False,0.28,0.6,0.8,5,85,running batch notes
0,2025-04-08 13:14:34,EBD,390,pgd-IRMv1,mnistcifar,50,34.192158937454224,0.8530000246167183,0.7610000145435333,0.5094000116884708,0.5050000074505806,25.0,14.634361267089844,0.006,adam,None,0.166015625,10000.0,400,1200,False,0.28,0.6,0.8,5,85,running batch notes
0,2025-04-08 13:15:21,EBD,390,pgd-IRMv1,mnistcifar,50,35.65076923370361,0.8151000250577927,0.7630000180006027,0.5000000075995922,0.49999999612569807,25.0,4.293848514556885,0.006,adam,None,0.166015625,10000.0,400,1200,False,0.28,0.6,0.8,5,85,running batch notes
0,2025-04-08 13:16:07,EBD,390,pgd-IRMv1,mnistcifar,50,34.1972234249115,0.8418000259399414,0.7690000218153,0.5582000142335892,0.5500000101327897,25.0,11.804401397705078,0.006,adam,None,0.13671875,10000.0,400,1200,False,0.28,0.6,0.8,5,70,running batch notes
0,2025-04-08 13:16:53,EBD,390,pgd-IRMv1,mnistcifar,50,35.52494025230408,0.8194000253081322,0.7610000216960907,0.6219000166654587,0.6080000072717666,25.0,6.894049644470215,0.006,adam,None,0.13671875,10000.0,400,1200,False,0.28,0.6,0.8,5,70,running batch notes
0,2025-04-08 13:17:40,EBD,390,pgd-IRMv1,mnistcifar,50,35.21447491645813,0.8436000255942344,0.764000004529953,0.6234000116586685,0.6039999890327453,25.0,4.425909996032715,0.006,adam,None,0.13671875,10000.0,400,1200,False,0.28,0.6,0.8,5,70,running batch notes
0,2025-04-08 13:18:26,EBD,390,pgd-IRMv1,mnistcifar,50,34.67078971862793,0.7889000293016434,0.7600000083446503,0.6124000076651573,0.5970000010728836,25.0,7.471184253692627,0.006,adam,None,0.13671875,10000.0,400,1200,False,0.28,0.6,0.8,5,70,running batch notes
0,2025-04-08 13:19:12,EBD,390,pgd-IRMv1,mnistcifar,50,35.077998876571655,0.8537000263929367,0.7690000122785569,0.5000000075995922,0.49999999612569807,25.0,5.992218017578125,0.006,adam,None,0.13671875,10000.0,400,1200,False,0.28,0.6,0.8,5,70,running batch notes
0,2025-04-08 13:19:58,EBD,390,pgd-IRMv1,mnistcifar,50,35.301321029663086,0.8231000227332115,0.7620000153779983,0.6777000307440758,0.6320000088214874,25.0,5.742679595947266,0.006,adam,None,0.13671875,10000.0,400,1200,False,0.28,0.6,0.8,5,70,running batch notes
0,2025-04-08 13:20:45,EBD,390,pgd-IRMv1,mnistcifar,50,35.98665380477905,0.8313000288009643,0.7700000113248825,0.5619000123739243,0.5420000171661377,25.0,2.8579511642456055,0.006,adam,None,0.13671875,10000.0,400,1200,False,0.28,0.6,0.8,5,70,running batch notes
0,2025-04-08 13:21:31,EBD,390,pgd-IRMv1,mnistcifar,50,35.179285526275635,0.8323000235557556,0.7660000276565552,0.49270000794529917,0.494999997317791,25.0,15.63703727722168,0.006,adam,None,0.13671875,10000.0,400,1200,False,0.28,0.6,0.8,5,70,running batch notes
0,2025-04-08 13:22:17,EBD,390,pgd-IRMv1,mnistcifar,50,35.240230321884155,0.8203000305294991,0.7530000185966492,0.5901000118851661,0.5550000137090683,25.0,5.959109783172607,0.006,adam,None,0.13671875,10000.0,400,1200,False,0.28,0.6,0.8,5,70,running batch notes
0,2025-04-08 13:23:04,EBD,390,pgd-IRMv1,mnistcifar,50,35.53545832633972,0.868200025498867,0.7590000325441361,0.6085000101327896,0.578999997973442,25.0,10.933889389038086,0.006,adam,None,0.13671875,10000.0,400,1200,False,0.28,0.6,0.8,5,70,running batch notes
0,2025-04-08 13:23:51,EBD,390,pgd-IRMv1,mnistcifar,50,35.763320446014404,0.8382000306248665,0.7810000336170196,0.5000000090003014,0.5000000089406967,25.0,3.161745071411133,0.006,adam,None,0.09765625,10000.0,400,1200,False,0.28,0.6,0.8,5,50,running batch notes
0,2025-04-08 13:24:36,EBD,390,pgd-IRMv1,mnistcifar,50,33.882057428359985,0.8330000230669975,0.755000029206276,0.5000000075995922,0.49999999612569807,25.0,5.789236068725586,0.006,adam,None,0.09765625,10000.0,400,1200,False,0.28,0.6,0.8,5,50,running batch notes
0,2025-04-08 13:25:21,EBD,390,pgd-IRMv1,mnistcifar,50,35.02586221694946,0.8550000218749046,0.7690000087022781,0.5473000140488148,0.5110000169277191,25.0,7.18617057800293,0.006,adam,None,0.09765625,10000.0,400,1200,False,0.28,0.6,0.8,5,50,running batch notes
0,2025-04-08 13:26:08,EBD,390,pgd-IRMv1,mnistcifar,50,35.62861490249634,0.8224000225663185,0.7670000052452087,0.6364000092744827,0.615999995470047,25.0,6.8815412521362305,0.006,adam,None,0.09765625,10000.0,400,1200,False,0.28,0.6,0.8,5,50,running batch notes
0,2025-04-08 13:26:55,EBD,390,pgd-IRMv1,mnistcifar,50,35.94655632972717,0.8551000263094902,0.7670000123977662,0.5000000075995922,0.49999999612569807,25.0,4.244195938110352,0.006,adam,None,0.09765625,10000.0,400,1200,False,0.28,0.6,0.8,5,50,running batch notes
0,2025-04-08 13:27:41,EBD,390,pgd-IRMv1,mnistcifar,50,34.2784698009491,0.8608000248670578,0.7570000326633454,0.5876000094413757,0.5640000218153,25.0,5.759970664978027,0.006,adam,None,0.09765625,10000.0,400,1200,False,0.28,0.6,0.8,5,50,running batch notes
0,2025-04-08 13:28:27,EBD,390,pgd-IRMv1,mnistcifar,50,35.12477397918701,0.8230000281333923,0.7500000214576721,0.6231000127196312,0.6000000035762787,25.0,6.863466262817383,0.006,adam,None,0.09765625,10000.0,400,1200,False,0.28,0.6,0.8,5,50,running batch notes
0,2025-04-08 13:29:13,EBD,390,pgd-IRMv1,mnistcifar,50,34.69675421714783,0.8478000202775001,0.757000030875206,0.5966000211834908,0.5340000110864639,25.0,4.7927045822143555,0.006,adam,None,0.09765625,10000.0,400,1200,False,0.28,0.6,0.8,5,50,running batch notes
