runid,date,model,hidden_dim,algorithm,dataset,epochs,time elapsed,record_train_acc,record_test_acc,last_train_acc,last_test_acc,target density/prune,final l1 norm,learning rate,optimizer,momentum,percent zeros,irmv1_gradnorm penalty,irmv1_penalty_anneal_iter,pgd_anneal_iter,orig 28x28,ts,te,fraction z,pgd skip,rho tolerance
0,9/27/2024 17:16,resnet18,390,probmask,mnistcifar,50,47.56120515,0.610300011,0.609000015,0.62110001,0.587999992,0.619140625,18.43233871,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:15,resnet18,390,probmask,mnistcifar,50,47.58013415,0.672200025,0.598,0.668300025,0.557999993,0.619140625,18.7992382,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:14,resnet18,390,probmask,mnistcifar,50,44.01639485,0.62990001,0.635000007,0.661000024,0.551999992,0.619140625,21.00403214,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:13,resnet18,390,probmask,mnistcifar,50,43.28413749,0.604200012,0.637000001,0.558200012,0.580999995,0.619140625,21.23367691,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:12,resnet18,390,probmask,mnistcifar,50,46.56875134,0.614100008,0.649,0.583600011,0.606000007,0.619140625,20.52068138,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:11,resnet18,390,probmask,mnistcifar,50,46.76417756,0.60900001,0.609999989,0.609000011,0.561000023,0.619140625,20.6116066,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:10,resnet18,390,probmask,mnistcifar,50,46.9355247,0.617100007,0.58199999,0.673400027,0.519000016,0.619140625,18.78395844,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:09,resnet18,390,probmask,mnistcifar,50,47.49131036,0.652400023,0.615000008,0.588900011,0.522000014,0.619140625,20.33508301,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:08,resnet18,390,probmask,mnistcifar,50,43.94690561,0.602900009,0.634000006,0.645200011,0.589000021,0.619140625,18.99465179,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:07,resnet18,390,probmask,mnistcifar,50,44.68790698,0.652200014,0.624,0.644000018,0.585999994,0.619140625,20.04664993,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:07,resnet18,390,probmask,mnistcifar,50,46.47410941,0.666900022,0.600999997,0.52970001,0.538000018,0.658203125,20.4185524,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:06,resnet18,390,probmask,mnistcifar,50,44.63098454,0.636700006,0.592000002,0.625500013,0.583999997,0.658203125,21.54911423,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:05,resnet18,390,probmask,mnistcifar,50,43.5664587,0.615900013,0.615000002,0.523500016,0.501999996,0.658203125,19.40719223,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:04,resnet18,390,probmask,mnistcifar,50,46.50627398,0.670300032,0.598999999,0.670300032,0.598999999,0.658203125,19.47510529,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:03,resnet18,390,probmask,mnistcifar,50,47.08157611,0.658200021,0.617999995,0.616400008,0.527000008,0.658203125,20.03476143,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:02,resnet18,390,probmask,mnistcifar,50,45.42614007,0.614800005,0.632000002,0.718000032,0.463999996,0.658203125,20.83730888,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:01,resnet18,390,probmask,mnistcifar,50,46.75128317,0.624900013,0.622000005,0.510800015,0.504000015,0.658203125,19.34945297,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 17:00,resnet18,390,probmask,mnistcifar,50,44.87569213,0.605300007,0.629000006,0.609900003,0.497000017,0.658203125,18.74958801,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:59,resnet18,390,probmask,mnistcifar,50,46.4854722,0.63070001,0.631999988,0.643500017,0.603000003,0.658203125,21.59216881,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:58,resnet18,390,probmask,mnistcifar,50,46.66249061,0.637800016,0.621999997,0.637800016,0.621999997,0.658203125,20.65029144,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:57,resnet18,390,probmask,mnistcifar,50,45.80713749,0.619300012,0.619000006,0.667100026,0.587999995,0.697265625,21.49118042,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:56,resnet18,390,probmask,mnistcifar,50,44.37766075,0.63130001,0.640000002,0.592100012,0.536000018,0.697265625,19.92136765,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:55,resnet18,390,probmask,mnistcifar,50,47.02797985,0.667900021,0.611000007,0.684000033,0.590000001,0.697265625,18.9904995,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:54,resnet18,390,probmask,mnistcifar,50,46.86578774,0.640500014,0.639000015,0.637300006,0.597999998,0.697265625,20.9608078,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:53,resnet18,390,probmask,mnistcifar,50,46.60133147,0.677100033,0.607,0.701800031,0.584999987,0.697265625,21.15300179,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
0,9/27/2024 16:53,resnet18,390,probmask,mnistcifar,50,46.5327673,0.64990002,0.598999987,0.650700014,0.593000005,0.697265625,21.28643036,0.006,adam,None,0,10000,13,600,FALSE,0.28,0.6,None,None,None
