runid,date,model,hidden_dim,algorithm,dataset,epochs,time elapsed,record_train_acc,record_test_acc,last_train_acc,last_test_acc,target density/prune,final l1 norm,learning rate,optimizer,momentum,percent zeros,irmv1_gradnorm penalty,irmv1_penalty_anneal_iter,pgd_anneal_iter,orig 28x28,ts,te,fraction z,pgd skip,rho tolerance
x2t6ilic,45547.85949,resnet18,390,pgd-IRMv1,mnistcifar,50,2.355255604,0.610800007,0.695000052,0.665900026,0.579000056,25,11.91250992,0.006,adam,None,0.380859375,10000,400,1200,FALSE,0.28,0.6,0.8,5,195
4yrrpamv,45547.85786,resnet18,390,pgd-IRMv1,mnistcifar,50,2.373798132,0.830100025,0.610000014,0.828100028,0.595000029,25,21.01374054,0.006,adam,None,0.380859375,10000,400,1200,FALSE,0.28,0.6,0.8,5,195
koghm3xe,45547.85623,resnet18,390,pgd-IRMv1,mnistcifar,50,2.391138315,0.804300025,0.605000019,0.559500008,0.489000022,25,25.93919754,0.006,adam,None,0.380859375,10000,400,1200,FALSE,0.28,0.6,0.8,5,195
dbc0rbzv,45547.85462,resnet18,390,pgd-IRMv1,mnistcifar,50,2.36103797,0.629600013,0.728000045,0.500000015,0.5,25,7.766559601,0.006,adam,None,0.380859375,10000,400,1200,FALSE,0.28,0.6,0.8,5,195
sex0o71t,45547.85296,resnet18,390,pgd-IRMv1,mnistcifar,50,2.370580912,0.792200024,0.648000002,0.76000003,0.381000012,25,24.98034286,0.006,adam,None,0.380859375,10000,400,1200,FALSE,0.28,0.6,0.8,5,195
dxt35095,45547.85137,resnet18,390,pgd-IRMv1,mnistcifar,50,2.361928225,0.788700028,0.691000044,0.560100013,0.471000016,25,27.41985893,0.006,adam,None,0.380859375,10000,400,1200,FALSE,0.28,0.6,0.8,5,195
2d036rm2,45547.84968,resnet18,390,pgd-IRMv1,mnistcifar,50,2.316663265,0.678900031,0.70600003,0.810800028,0.639000058,25,13.54048538,0.006,adam,None,0.380859375,10000,400,1200,FALSE,0.28,0.6,0.8,5,195
cs36cgz6,45547.84807,resnet18,390,pgd-IRMv1,mnistcifar,50,2.452203989,0.653300014,0.644000053,0.663200023,0.453000009,25,13.52980709,0.006,adam,None,0.380859375,10000,400,1200,FALSE,0.28,0.6,0.8,5,195
qf93atj4,45547.84642,resnet18,390,pgd-IRMv1,mnistcifar,50,2.372896433,0.64590002,0.731000006,0.616000012,0.526000023,25,4.844556808,0.006,adam,None,0.380859375,10000,400,1200,FALSE,0.28,0.6,0.8,5,195
b8pn34sg,45547.84481,resnet18,390,pgd-IRMv1,mnistcifar,50,2.290077686,0.696700031,0.708000004,0.50000001,0.5,25,10.96309185,0.006,adam,None,0.380859375,10000,400,1200,FALSE,0.28,0.6,0.8,5,195
ozizb59c,45547.84318,resnet18,390,pgd-IRMv1,mnistcifar,50,2.434744596,0.848400027,0.688000023,0.525700013,0.566000044,25,23.58998299,0.006,adam,None,0.341796875,10000,400,1200,FALSE,0.28,0.6,0.8,5,175
coshou16,45547.84149,resnet18,390,pgd-IRMv1,mnistcifar,50,2.309350967,0.75780003,0.712000012,0.757400029,0.288000017,25,19.07905197,0.006,adam,None,0.341796875,10000,400,1200,FALSE,0.28,0.6,0.8,5,175
hinyhfqd,45547.83978,resnet18,390,pgd-IRMv1,mnistcifar,50,2.340170622,0.77430003,0.695000052,0.570800011,0.493000031,25,15.70978546,0.006,adam,None,0.341796875,10000,400,1200,FALSE,0.28,0.6,0.8,5,175
uyq4x054,45547.83816,resnet18,390,pgd-IRMv1,mnistcifar,50,2.257708788,0.841800021,0.617000043,0.535100007,0.674000025,25,25.01513672,0.006,adam,None,0.341796875,10000,400,1200,FALSE,0.28,0.6,0.8,5,175
v2i01s6h,45547.8365,resnet18,390,pgd-IRMv1,mnistcifar,50,2.285939217,0.830500023,0.682000041,0.500000008,0.5,25,13.87127495,0.006,adam,None,0.341796875,10000,400,1200,FALSE,0.28,0.6,0.8,5,175
zf0rfbsq,45547.83487,resnet18,390,pgd-IRMv1,mnistcifar,50,2.295583725,0.698600027,0.728000045,0.734900032,0.548000038,25,23.89944458,0.006,adam,None,0.341796875,10000,400,1200,FALSE,0.28,0.6,0.8,5,175
0z3tkzx0,45547.83328,resnet18,390,pgd-IRMv1,mnistcifar,50,2.300985336,0.871800023,0.606000006,0.501000007,0.498000026,25,23.83782196,0.006,adam,None,0.341796875,10000,400,1200,FALSE,0.28,0.6,0.8,5,175
2n8dl22h,45547.83167,resnet18,390,pgd-IRMv1,mnistcifar,50,2.250158072,0.65050002,0.653000057,0.722900027,0.634000003,25,11.88003826,0.006,adam,None,0.341796875,10000,400,1200,FALSE,0.28,0.6,0.8,5,175
qb71zpis,45547.83009,resnet18,390,pgd-IRMv1,mnistcifar,50,2.319476128,0.873500022,0.606000006,0.852300024,0.579000056,25,22.67643738,0.006,adam,None,0.341796875,10000,400,1200,FALSE,0.28,0.6,0.8,5,175
63rynmw0,45547.82848,resnet18,390,pgd-IRMv1,mnistcifar,50,2.391019583,0.644400015,0.711000025,0.797300027,0.601000011,25,15.12340641,0.006,adam,None,0.341796875,10000,400,1200,FALSE,0.28,0.6,0.8,5,175
0ipvpgjl,45547.82678,resnet18,390,pgd-IRMv1,mnistcifar,50,2.333055019,0.611900003,0.670000017,0.644900015,0.636000037,25,11.8818531,0.006,adam,None,0.302734375,10000,400,1200,FALSE,0.28,0.6,0.8,5,155
hk74k911,45547.82521,resnet18,390,pgd-IRMv1,mnistcifar,50,2.357013464,0.854300027,0.622000039,0.500000008,0.5,25,23.48124695,0.006,adam,None,0.302734375,10000,400,1200,FALSE,0.28,0.6,0.8,5,155
