hello
./datasets/cifarmnist2_10000.pt dataset not found. Creating dataset...
Files already downloaded and verified
Files already downloaded and verified
epoch           train_acc       test_acc        time         
0               0.84570         0.10900         2.87261      
1               0.84890         0.10700         0.73875      
2               0.85230         0.20100         0.73621      
3               0.85770         0.20300         0.73720      
4               0.86250         0.29100         0.73645      
5               0.86510         0.45100         0.73211      
6               0.86870         0.55800         0.74042      
7               0.87790         0.47100         0.73580      
8               0.84590         0.46800         0.73592      
9               0.87740         0.52500         0.73932      
10              0.90240         0.57800         0.72732      
11              0.90540         0.55500         0.72653      
12              0.90650         0.41800         0.73303      
13              0.90000         0.41200         0.72641      
14              0.90860         0.49100         0.72636      
15              0.82790         0.64500         0.72906      
16              0.81220         0.63800         0.72794      
17              0.81520         0.63300         0.72666      
18              0.84690         0.65600         0.72747      
19              0.83660         0.66900         0.72812      
20              0.82630         0.66400         0.72573      
21              0.82950         0.68700         0.72725      
22              0.82370         0.69300         0.72608      
23              0.82970         0.68400         0.72535      
24              0.80830         0.67900         0.72699      
25              0.79670         0.70300         0.72644      
26              0.81240         0.68200         0.72951      
27              0.81190         0.68800         0.72656      
28              0.80430         0.70700         0.72598      
29              0.79360         0.70300         0.72545      
30              0.79840         0.71600         0.72737      
31              0.80980         0.70600         0.72580      
32              0.81170         0.70300         0.72587      
33              0.79830         0.70700         0.72797      
34              0.79820         0.72600         0.72568      
35              0.80810         0.70100         0.72560      
36              0.81270         0.70400         0.72851      
37              0.79930         0.71100         0.72552      
38              0.79860         0.72100         0.72582      
39              0.80810         0.70500         0.72626      
40              0.81290         0.70400         0.72725      
41              0.80480         0.71300         0.72609      
42              0.80110         0.71900         0.72680      
43              0.80890         0.70900         0.72597      
44              0.81010         0.70100         0.72624      
45              0.80510         0.71500         0.72733      
46              0.77590         0.70200         0.87440      
47              0.80740         0.68900         0.90740      
48              0.77570         0.61100         0.90738      
49              0.74370         0.74900         0.90511      
0               0.00000         0.00000         39.28375     
./datasets/cifarmnist2_10000.pt dataset not found. Creating dataset...
Files already downloaded and verified
Files already downloaded and verified
epoch           train_acc       test_acc        time         
0               0.84540         0.10000         2.57273      
1               0.84330         0.12200         0.75648      
2               0.84120         0.18800         0.76092      
3               0.86470         0.27100         0.75514      
4               0.86950         0.32500         0.75852      
5               0.86840         0.31200         0.76232      
6               0.87670         0.43300         0.75590      
7               0.88810         0.46800         0.75876      
8               0.88280         0.47200         0.75640      
9               0.90320         0.49200         0.76198      
10              0.90500         0.50500         0.75796      
11              0.91280         0.43700         0.75651      
